name,GRIDCODE,stockinisurf,stockiniprof,epaisseursurf,epaisseurprof,humcr,humpf,humfc,humsat
example,0,10,100,100,1400,0.19,0.05,0.17,0.28
HC_GEN0001,1,10,10,100,1800,,0.2,0.39,0.44
HC_GEN0002,2,10,10,100,1200,,0.2,0.39,0.44
HC_GEN0003,3,10,10,100,600,,0.2,0.39,0.44
HC_GEN0004,4,10,10,100,1800,,0.2,0.39,0.44
HC_GEN0005,5,10,10,100,1200,,0.2,0.39,0.44
HC_GEN0006,6,10,10,100,600,,0.2,0.39,0.44
HC_GEN0007,7,10,10,100,1800,,0.2,0.39,0.44
HC_GEN0008,8,10,10,100,1200,,0.2,0.39,0.44
HC_GEN0009,9,10,10,100,600,,0.2,0.39,0.44
HC_GEN0010,10,10,10,100,1800,,0.17,0.3,0.4
HC_GEN0011,11,10,10,100,1200,,0.17,0.3,0.4
HC_GEN0012,12,10,10,100,600,,0.17,0.3,0.4
HC_GEN0013,13,10,10,100,1800,,0.17,0.3,0.4
HC_GEN0014,14,10,10,100,1200,,0.17,0.3,0.4
HC_GEN0015,15,10,10,100,600,,0.17,0.3,0.4
HC_GEN0016,16,10,10,100,1800,,0.17,0.3,0.4
HC_GEN0017,17,10,10,100,1200,,0.17,0.3,0.4
HC_GEN0018,18,10,10,100,600,,0.17,0.3,0.4
HC_GEN0019,19,10,10,100,1800,,0.06,0.16,0.36
HC_GEN0020,20,10,10,100,1200,,0.06,0.16,0.36
HC_GEN0021,21,10,10,100,600,,0.06,0.16,0.36
HC_GEN0022,22,10,10,100,1800,,0.06,0.16,0.36
HC_GEN0023,23,10,10,100,1200,,0.06,0.16,0.36
HC_GEN0024,24,10,10,100,600,,0.06,0.16,0.36
HC_GEN0025,25,10,10,100,1800,,0.06,0.16,0.36
HC_GEN0026,26,10,10,100,1200,,0.06,0.16,0.36
HC_GEN0027,27,10,10,100,600,,0.06,0.16,0.36
