Value,Genotype,InternodeLengthMax,LeafLengthMax,CoeffLeafWLRatio,SlaMin,CoeffLeafDeath,TilAbility,CoeffTillerDeath,CoeffInternodeMass,CoeffPanicleMass,PanStructMassMax,CoeffPanSinkPop
MinValue,621B,29.5,232,0.07,0.000675,0.0009,0.1,0.1,0.005,0.11,4,3.1
MaxValue,621B,86,910,0.11,0.0027,0.033,0.4,0.4,0.02,0.44,16,12.4
obsCoef,621B,86,910,0.11,0.00135,0,0.2,0.2,0.01,0.22,8,6.2
MinValue,CSM63E,74.5,250,0.0045,0.0012,0.015,0.005,0.1,0.025,0.06,3,2.5
MaxValue,CSM63E,162.1,909,0.09,0.0048,0.06,0.02,0.4,0.1,0.24,12,10
obsCoef,CSM63E,162.1,909,0.09,0.0024,0.03,0.01,0.2,0.05,0.12,6,5
MinValue,Fadda,51,242,0.06,0.000475,0.005,0.1,0.1,0.04,0.11,4,3.5
MaxValue,Fadda,500,1012,0.1,0.0019,0.02,0.4,0.4,0.16,0.44,16,14
obsCoef,Fadda,500,1012,0.1,0.00095,0.01,0.2,0.2,0.08,0.22,8,7
MinValue,IS15401,71.5,166,0.06,0.000515,0.0085,0.1,0.1,0.04,0.11,4,3
MaxValue,IS15401,163,1204,0.09,0.00206,0.034,0.4,0.4,0.16,0.44,16,12
obsCoef,IS15401,163,1204,0.09,0.00103,0.017,0.2,0.2,0.08,0.22,8,6
MinValue,Nieleni,37,215.5,0.08,0.00084,0.0025,0.02,0.1,0.03,0.14,4.5,4
MaxValue,Nieleni,108,947,0.12,0.00336,0.01,0.08,0.4,0.12,0.56,18,16
obsCoef,Nieleni,108,947,0.12,0.00168,0.005,0.04,0.2,0.06,0.28,9,8
MinValue,Pablo,71,217,0.06,0.000735,0.005,0.02,0.1,0.03,0.14,4,3.5
MaxValue,Pablo,500,1033,0.09,0.00294,0.02,0.08,0.4,0.12,0.56,16,14
obsCoef,Pablo,500,1033,0.09,0.00147,0.01,0.04,0.2,0.06,0.28,8,7
MinValue,SK5912,35,203.5,0.06,0.00043,0.01,0.005,0.1,0.04,0.05,3,2
MaxValue,SK5912,83,1018,0.1,0.00172,0.04,0.02,0.4,0.16,0.2,12,8
obsCoef,SK5912,83,1018,0.1,0.00086,0.02,0.01,0.2,0.08,0.1,6,4
MinValue,Grinkan,28.5,229,0.07,0.000705,0.015,0.005,0.1,0.025,0.12,3,2.5
MaxValue,Grinkan,63,872,0.13,0.00282,0.06,0.02,0.4,0.1,0.48,12,10
obsCoef,Grinkan,63,872,0.13,0.00141,0.03,0.01,0.2,0.05,0.24,6,5
MinValue,Soumba,37.5,206.5,0.075,0.000455,0.015,0.015,0.1,0.025,0.14,3,2.5
MaxValue,Soumba,96,960,0.22,0.00182,0.06,0.06,0.4,0.1,0.56,12,10
obsCoef,Soumba,96,960,0.11,0.00091,0.03,0.03,0.2,0.05,0.28,6,5
